DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	00:00:00	1.80957	1.81194	1.79830	1.80579	100636	0	200
2015.01.02	08:00:00	1.81050	1.81207	1.80285	1.80475	13474	0	62
2015.01.02	12:00:00	1.80477	1.80482	1.79862	1.80294	17097	0	62
2015.01.02	16:00:00	1.80293	1.80583	1.79996	1.80298	22750	0	62
2015.01.02	20:00:00	1.80304	1.80615	1.80073	1.80500	10947	0	62
2015.01.05	00:00:00	1.80271	1.80649	1.78763	1.80434	159796	0	92
2015.01.05	04:00:00	1.80435	1.80556	1.80264	1.80435	9515	0	62
2015.01.05	08:00:00	1.80436	1.80586	1.80097	1.80166	17685	0	62
2015.01.05	12:00:00	1.80171	1.80314	1.79090	1.79142	21846	0	62
2015.01.05	16:00:00	1.79145	1.79668	1.79014	1.79411	22019	0	62
2015.01.05	20:00:00	1.79411	1.79586	1.79112	1.79302	11447	0	62
2015.01.06	00:00:00	1.79305	1.79476	1.78451	1.79228	160618	0	92
2015.01.06	04:00:00	1.79224	1.79276	1.79099	1.79137	7267	0	62
2015.01.06	08:00:00	1.79129	1.79436	1.78739	1.78884	18432	0	62
2015.01.06	12:00:00	1.78882	1.79072	1.78511	1.78620	20726	0	62
2015.01.06	16:00:00	1.78619	1.79359	1.78480	1.79211	27117	0	62
2015.01.06	20:00:00	1.79210	1.79494	1.78985	1.79246	13310	0	62
2015.01.07	00:00:00	1.79278	1.79592	1.78335	1.79080	181941	0	92
2015.01.07	04:00:00	1.79079	1.79246	1.78980	1.79157	7490	0	62
2015.01.07	08:00:00	1.79152	1.79618	1.79100	1.79383	20394	0	62
2015.01.07	12:00:00	1.79382	1.79422	1.78661	1.78961	25623	0	62
2015.01.07	16:00:00	1.78963	1.78970	1.78343	1.78792	24831	0	62
2015.01.07	20:00:00	1.78788	1.79087	1.78460	1.78460	17294	0	62
2015.01.08	00:00:00	1.78473	1.78773	1.77592	1.78445	145241	0	92
2015.01.08	04:00:00	1.78448	1.78486	1.78342	1.78421	7800	0	62
2015.01.08	08:00:00	1.78421	1.78472	1.77707	1.77828	18221	0	62
2015.01.08	12:00:00	1.77827	1.78312	1.77622	1.78195	21586	0	62
