id	symbol	type	entry	sl	tp	lots	spread	tradeid	stamp	activated	openprice	swap	profit	closed	commision	strategy
135	GBPUSD	buy	1.24001	1.2328755045930708	1.2471444954069293	0.1	0	0	2023-11-16 13:30:01.566498 +00:00	2023.11.16 15:45:00	1.24313	0	-0.18	2023.11.16 17:45	-0.14	SSL Hybrid
164	AUDNZD	buy	1.08277	1.0808476320411324	1.0846923679588676	0.1	0	0	2023-11-16 19:45:03.271954 +00:00	2023.11.16 22:00:00	1.08291	-0.33	9.62	2023.11.17 02:00	-0.14	VHMA
146	GBPUSD	buy	1.2432	1.2395304230833155	1.2468695769166847	0.1	0	0	2023-11-16 15:00:04.560702 +00:00	2023.11.16 17:15:00	1.24471	-0.18	-49.13	2023.11.17 09:00	-0.14	AI Volume Supertrend
130	EURCHF	buy	0.9647	0.9591476698041477	0.9702523301958523	0.1	0	0	2023-11-16 12:15:04.675110 +00:00	2023.11.16 15:10:09	0.96518	0.7	16.14	""	0	SSL Hybrid
149	EURUSD	buy	1.08784	1.0844633185821326	1.0912166814178672	0.1	0	0	2023-11-16 16:00:17.865897 +00:00	2023.11.16 18:15:05	1.08764	-0.64	-29.6	2023.11.17 09:07	-0.14	AI Volume Supertrend
208	EURUSD	buy	1.08538	1.0825864697429508	1.0881735302570492	0.1	0	0	2023-11-17 04:00:10.764671 +00:00	2023.11.17 10:56:02	1.08432	0	15.29	2023.11.17 13:41	-0.14	AI Volume Supertrend
211	USDCAD	buy	1.37522	1.371711875828864	1.3787281241711362	0.1	0	0	2023-11-17 04:30:05.680784 +00:00	2023.11.17 10:56:08	1.375	0	-22	2023.11.17 14:48	-0.14	SSL Hybrid
176	EURUSD	buy	1.08536	1.0825669364042387	1.0881530635957615	0.1	0	0	2023-11-16 23:00:07.802076 +00:00	2023.11.17 03:44:50	1.08533	0	-25.49	2023.11.17 10:06	-0.14	SSL Hybrid
158	XAGUSD	buy	23.8545	23.65933513515085	24.049664864849152	0.1	0	0	2023-11-16 18:00:12.417629 +00:00	2023.11.16 20:15:16	23.881	-2.13	77.85	2023.11.17 11:40	-0.06	VHMA
165	EURCHF	buy	0.96465	0.9622968635445059	0.9670031364554941	0.1	0	0	2023-11-16 19:45:03.888028 +00:00	2023.11.16 22:00:05	0.96468	0.35	-24.32	2023.11.17 10:33	-0.14	SSL Hybrid
156	EURUSD	buy	1.086	1.081502544475993	1.0904974555240072	0.1	0	0	2023-11-16 18:00:11.376983 +00:00	2023.11.16 20:15:11	1.08631	-0.64	23.88	2023.11.17 17:50	-0.14	AI Volume Supertrend
195	XAGUSD	buy	23.862	23.673394968613948	24.05060503138605	0.1	0	0	2023-11-17 01:00:08.240654 +00:00	2023.11.17 03:45:07	23.838	0	72.77	2023.11.17 11:51	-0.06	VHMA
37	XAGUSD	buy	23.43655	23.24341291746558	23.62968708253442	0.1	0	0	2023-11-15 21:30:05.077852 +00:00	2023.11.16 10:43:32	23.567	0	29.48	2023.11.16 11:05	-0.05	VHMA
136	GBPUSD	buy	1.24001	1.2363398237217533	1.2436801762782468	0.1	0	0	2023-11-16 13:30:02.308025 +00:00	2023.11.16 15:45:05	1.24315	0	5.24	2023.11.16 15:45	-0.14	VHMA
131	AUDNZD	buy	1.0842	1.0820321446739072	1.086367855326093	0.1	0	0	2023-11-16 12:30:03.284067 +00:00	2023.11.16 15:10:15	1.08377	0	-9.56	2023.11.16 16:04	-0.14	SSL Hybrid
127	GBPUSD	buy	1.24042	1.2357666389185074	1.2450733610814928	0.1	0	0	2023-11-16 12:00:04.174238 +00:00	2023.11.16 14:15:01	1.23932	0	29.79	2023.11.16 16:17	-0.14	AI Volume Supertrend
150	GBPCAD	buy	1.71094	1.694424866655688	1.7274551333443118	0.1	0	0	2023-11-16 17:00:03.376239 +00:00	2023.11.16 19:15:01	1.71053	-0.28	31.16	""	0	Super AI Trend
201	EURUSD	buy	1.08552	1.0827274128767534	1.0883125871232466	0.1	0	0	2023-11-17 03:00:07.830891 +00:00	2023.11.17 10:56:31	1.08441	0	15.38	2023.11.17 13:40	-0.14	SSL Hybrid
203	EURUSD	buy	1.08552	1.0827274128767534	1.0883125871232466	0.1	0	0	2023-11-17 03:00:10.781979 +00:00	2023.11.17 10:56:37	1.08439	0	15.38	2023.11.17 13:40	-0.14	AI Volume Supertrend
134	EURUSD	buy	1.08426	1.0781647819569842	1.0903552180430158	0.1	0	0	2023-11-16 13:00:17.703719 +00:00	2023.11.16 15:10:21	1.08471	0	23.82	2023.11.16 16:17	-0.14	AI Volume Supertrend
121	AUDNZD	buy	1.08325	1.0809228758160694	1.0855771241839307	0.1	0	0	2023-11-16 11:15:02.017943 +00:00	2023.11.16 13:30:00	1.08365	0	-15.06	2023.11.16 17:04	-0.14	Super AI Trend
169	GBPUSD	buy	1.24083	1.2356394900144756	1.2460205099855246	0.1	0	0	2023-11-16 21:00:03.994428 +00:00	2023.11.17 03:44:04	1.24157	0	-0.18	2023.11.17 15:45	-0.14	AI Volume Supertrend
222	USDCAD	buy	1.37565	1.3725440803617552	1.3787559196382448	0.1	0	0	2023-11-17 05:15:05.640821 +00:00	2023.11.17 10:56:55	1.37488	0	-15.82	2023.11.17 12:22	-0.14	Super AI Trend
214	GBPUSD	buy	1.24101	1.2373404001349753	1.2446795998650246	0.1	0	0	2023-11-17 04:45:04.937708 +00:00	2023.11.17 10:56:49	1.2383	0	32.18	2023.11.17 16:11	-0.14	SSL Hybrid
228	GBPUSD	buy	1.24139	1.2377198236427518	1.2450601763572482	0.1	0	0	2023-11-17 06:00:02.360087 +00:00	2023.11.17 10:57:01	1.2382	0	32.55	2023.11.17 16:11	-0.14	SSL + Wave Trend Strategy
209	GBPCAD	buy	1.70632	1.6979196185671492	1.7147203814328509	0.1	0	0	2023-11-17 04:30:03.557163 +00:00	2023.11.17 10:56:43	1.70256	0	19.31	2023.11.17 12:49	-0.14	VHMA
142	EURUSD	buy	1.08742	1.0844715622122805	1.0903684377877196	0.1	0	0	2023-11-16 13:45:06.978462 +00:00	2023.11.16 16:00:10	1.08799	-0.64	-32.64	2023.11.17 09:07	-0.14	SSL Hybrid
182	AUDNZD	buy	1.08421	1.0816053396848424	1.0868146603151574	0.1	0	0	2023-11-16 23:30:11.384282 +00:00	2023.11.17 03:44:55	1.08484	0	10.81	2023.11.17 09:34	-0.14	Super AI Trend
193	EURCHF	buy	0.96435	0.962695703374925	0.966004296625075	0.1	0	0	2023-11-17 01:00:04.643636 +00:00	2023.11.17 03:45:01	0.96475	0	-21.5	2023.11.17 09:37	-0.14	VHMA
171	CHFJPY	buy	169.586	169.13922439086318	170.03277560913685	0.1	0	0	2023-11-16 21:15:02.130552 +00:00	2023.11.17 03:44:43	169.465	0	-19.83	2023.11.17 10:04	-0.14	Super AI Trend
160	EURCHF	buy	0.96469	0.9607189207629864	0.9686610792370137	0.1	0	0	2023-11-16 18:45:05.193620 +00:00	2023.11.16 21:00:00	0.96483	0.7	16.76	""	0	SSL Hybrid
147	EURUSD	buy	1.08762	1.082077712224811	1.093162287775189	0.1	0	0	2023-11-16 15:00:13.455859 +00:00	2023.11.16 17:15:05	1.08886	-1.28	39.34	2023.11.20 06:17	-0.14	AI Volume Supertrend
53	EURUSD	buy	1.08502	1.0811253035241533	1.088914696475847	0.1	0	0	2023-11-15 23:45:05.488949 +00:00	2023.11.16 10:44:31	1.08501	0	24	2023.11.16 16:04	-0.14	VHMA
41	GBPUSD	buy	1.24157	1.237481312928313	1.245658687071687	0.1	0	0	2023-11-15 22:00:04.771533 +00:00	2023.11.16 10:43:44	1.23878	0	0.18	2023.11.16 14:18	-0.14	AI Volume Supertrend
81	EURUSD	buy	1.08372	1.0809269096635485	1.0865130903364515	0.1	0	0	2023-11-16 05:00:12.646016 +00:00	2023.11.16 10:47:10	1.08502	0	13.71	2023.11.16 15:34	-0.14	AI Volume Supertrend
75	GBPUSD	buy	1.23878	1.2325542747302782	1.2450057252697218	0.1	0	0	2023-11-16 04:00:03.534737 +00:00	2023.11.16 10:46:35	1.23878	0	0.18	2023.11.16 14:18	-0.14	AI Volume Supertrend
70	EURCHF	buy	0.96296	0.9520785596164738	0.9738414403835263	0.1	0	0	2023-11-16 02:45:19.586563 +00:00	2023.11.16 10:46:05	0.96459	0.7	18.83	""	0	SSL Hybrid
63	GBPUSD	buy	1.24183	1.2371850243185571	1.2464749756814428	0.1	0	0	2023-11-16 01:00:05.791409 +00:00	2023.11.16 10:45:24	1.23877	0	-0.55	2023.11.16 14:19	-0.14	AI Volume Supertrend
58	AUDNZD	buy	1.08183	1.0774280541599621	1.086231945840038	0.1	0	0	2023-11-16 00:45:01.901675 +00:00	2023.11.16 10:44:54	1.08344	-0.33	15.37	2023.11.17 08:33	-0.14	VHMA
62	EURCHF	buy	0.96315	0.9595839695419298	0.9667160304580701	0.1	0	0	2023-11-16 01:00:03.143904 +00:00	2023.11.16 10:45:18	0.9644	0.35	20.18	2023.11.17 23:20	-0.14	SSL Hybrid
49	AUDNZD	buy	1.08052	1.0784785383368076	1.0825614616631922	0.1	0	0	2023-11-15 23:15:02.386650 +00:00	2023.11.16 15:45:11	1.08263	0	-0.55	2023.11.16 15:45	-0.14	VHMA
48	EURCHF	buy	0.96295	0.9612259693827865	0.9646740306172135	0.1	0	0	2023-11-15 23:15:02.037286 +00:00	2023.11.16 10:44:19	0.96429	0	3.84	2023.11.16 11:29	-0.14	Super AI Trend
54	GBPUSD	buy	1.24218	1.2379314667891697	1.2464285332108305	0.1	0	0	2023-11-16 00:00:03.656714 +00:00	2023.11.16 10:44:37	1.23869	0	-0.09	2023.11.16 14:19	-0.14	Super AI Trend
128	EURUSD	buy	1.08522	1.0818326809764003	1.0886073190235999	0.1	0	0	2023-11-16 12:00:20.457048 +00:00	2023.11.16 14:15:06	1.08468	0	23.82	2023.11.16 16:17	-0.14	AI Volume Supertrend
65	EURUSD	buy	1.08552	1.0827259319738787	1.0883140680261214	0.1	0	0	2023-11-16 01:00:09.286548 +00:00	2023.11.16 10:45:36	1.08512	0	23.81	2023.11.16 16:04	-0.14	AI Volume Supertrend
87	GBPUSD	buy	1.23949	1.2359285278362893	1.2430514721637107	0.1	0	0	2023-11-16 06:00:04.334672 +00:00	2023.11.16 10:47:46	1.23907	0	0	2023.11.16 14:08	-0.14	AI Volume Supertrend
51	AUDNZD	buy	1.08088	1.0789157044366333	1.0828442955633668	0.1	0	0	2023-11-15 23:30:02.377450 +00:00	2023.11.16 11:45:07	1.08281	0	0.17	2023.11.16 11:49	-0.14	Super AI Trend
84	CHFJPY	buy	170.27	169.81674148868072	170.7232585113193	0.1	0	0	2023-11-16 05:30:01.273486 +00:00	2023.11.16 10:47:28	170.303	0	-28.55	2023.11.16 15:30	-0.14	SSL Hybrid
52	EURCHF	buy	0.96304	0.9613863550020699	0.9646936449979301	0.1	0	0	2023-11-15 23:45:03.902421 +00:00	2023.11.16 10:44:25	0.96425	0	4.98	2023.11.16 11:30	-0.14	SSL Hybrid
85	EURUSD	buy	1.08385	1.0808496083100978	1.0868503916899022	0.1	0	0	2023-11-16 05:30:06.152903 +00:00	2023.11.16 10:47:34	1.08514	0	15.64	2023.11.16 15:35	-0.14	SSL Hybrid
80	GBPUSD	buy	1.23929	1.2358305231095559	1.2427494768904441	0.1	0	0	2023-11-16 05:00:05.652116 +00:00	2023.11.16 10:47:05	1.23886	0	-0.18	2023.11.16 14:18	-0.14	AI Volume Supertrend
72	EURUSD	buy	1.08334	1.0805460724353304	1.0861339275646695	0.1	0	0	2023-11-16 03:00:16.048556 +00:00	2023.11.16 10:46:17	1.08508	0	10.04	2023.11.16 15:30	-0.14	AI Volume Supertrend
57	EURUSD	buy	1.08542	1.080603854058268	1.090236145941732	0.1	0	0	2023-11-16 00:00:12.699124 +00:00	2023.11.16 10:44:48	1.085	0	24	2023.11.16 16:04	-0.14	AI Volume Supertrend
42	EURUSD	buy	1.08476	1.081948690072108	1.0875713099278919	0.1	0	0	2023-11-15 22:01:01.955620 +00:00	2023.11.16 10:43:50	1.08519	0	22.07	2023.11.16 15:45	-0.14	AI Volume Supertrend
71	GBPUSD	buy	1.23828	1.2343346402138407	1.2422253597861594	0.1	0	0	2023-11-16 03:00:06.382148 +00:00	2023.11.16 10:46:11	1.23876	0	-0.46	2023.11.16 14:19	-0.14	AI Volume Supertrend
79	EURCHF	buy	0.96283	0.9611760208962165	0.9644839791037835	0.1	0	0	2023-11-16 04:45:02.754008 +00:00	2023.11.16 10:46:59	0.96444	0	0.73	2023.11.16 10:52	-0.14	SSL Hybrid
44	EURUSD	buy	1.08487	1.0820375780112612	1.0877024219887388	0.1	0	0	2023-11-15 22:45:05.205204 +00:00	2023.11.16 10:44:02	1.08515	0	23.54	2023.11.16 15:45	-0.14	VHMA
67	EURCHF	buy	0.96297	0.9595327951133037	0.9664072048866963	0.1	0	0	2023-11-16 01:45:05.229749 +00:00	2023.11.16 10:45:48	0.96457	0.35	19.04	2023.11.17 23:16	-0.14	SSL Hybrid
46	EURUSD	buy	1.08496	1.0821666545481885	1.0877533454518113	0.1	0	0	2023-11-15 23:00:05.842106 +00:00	2023.11.16 10:44:14	1.08503	0	25.1	2023.11.16 15:46	-0.14	AI Volume Supertrend
43	EURUSD	buy	1.0849	1.0817796790355998	1.0880203209644002	0.1	0	0	2023-11-15 22:16:01.571803 +00:00	2023.11.16 10:43:56	1.08519	0	26.29	2023.11.16 15:57	-0.14	VHMA
55	GBPUSD	buy	1.24218	1.2383685271025466	1.2459914728974535	0.1	0	0	2023-11-16 00:00:04.075310 +00:00	2023.11.16 10:44:43	1.23868	0	0	2023.11.16 14:19	-0.14	VHMA
64	EURUSD	buy	1.08552	1.081296064725002	1.089743935274998	0.1	0	0	2023-11-16 01:00:07.338419 +00:00	2023.11.16 10:45:30	1.0851	0	23.81	2023.11.16 16:04	-0.14	Super AI Trend
77	XAGUSD	buy	23.416	23.227121609985662	23.60487839001434	0.1	0	0	2023-11-16 04:30:20.638091 +00:00	2023.11.16 10:46:47	23.566	0	18.43	2023.11.16 10:55	-0.05	Super AI Trend
61	USDCAD	buy	1.36863	1.3659575451117902	1.3713024548882098	0.1	0	0	2023-11-16 00:45:06.081146 +00:00	2023.11.16 10:45:12	1.3697	0	10.69	2023.11.16 14:05	-0.14	SSL Hybrid
76	EURUSD	buy	1.08326	1.0804672959698185	1.0860527040301813	0.1	0	0	2023-11-16 04:00:12.019268 +00:00	2023.11.16 10:46:41	1.08507	0	9.02	2023.11.16 11:16	-0.14	AI Volume Supertrend
66	USDCAD	buy	1.36891	1.366199984146565	1.371620015853435	0.1	0	0	2023-11-16 01:15:04.851211 +00:00	2023.11.16 10:45:42	1.36964	0	13.78	2023.11.16 14:07	-0.14	SSL Hybrid
74	XAGUSD	buy	23.3999	23.177502373591032	23.622297626408965	0.1	0	0	2023-11-16 03:45:06.102888 +00:00	2023.11.16 10:46:29	23.566	0	26.25	2023.11.16 11:04	-0.05	VHMA
50	AUDNZD	buy	1.08088	1.0785884260655123	1.0831715739344878	0.1	0	0	2023-11-15 23:30:01.642210 +00:00	2023.11.16 11:15:01	1.08307	0	0.55	2023.11.16 11:17	-0.14	SSL Hybrid
38	AUDNZD	buy	1.08065	1.0784010642212236	1.0828989357787766	0.1	0	0	2023-11-15 21:45:00.941665 +00:00	2023.11.16 11:45:01	1.08282	0	0.44	2023.11.16 11:49	-0.14	VHMA
47	CHFJPY	buy	170.416	169.502385631022	171.32961436897799	0.1	0	0	2023-11-15 23:15:01.573945 +00:00	2023.11.16 11:00:00	170.336	0	-51.58	2023.11.16 17:50	-0.14	Super AI Trend
60	USDCAD	buy	1.36863	1.3659575451117902	1.3713024548882098	0.1	0	0	2023-11-16 00:45:05.679284 +00:00	2023.11.16 10:45:06	1.36976	0	10.42	2023.11.16 14:05	-0.14	VHMA
218	GBPCAD	buy	1.70653	1.7015799811019388	1.7114800188980615	0.1	0	0	2023-11-17 05:15:03.379110 +00:00	2023.11.17 10:57:36	1.70242	0	-5.16	2023.11.17 10:59	-0.14	SSL Hybrid
151	GBPUSD	buy	1.24204	1.2364859396202814	1.2475940603797187	0.1	0	0	2023-11-16 17:00:06.536019 +00:00	2023.11.16 19:15:07	1.24281	-0.36	43.87	2023.11.20 04:27	-0.14	AI Volume Supertrend
231	GBPUSD	buy	1.24139	1.2379063220012005	1.2448736779987994	0.1	0	0	2023-11-17 06:00:04.007858 +00:00	2023.11.17 10:58:05	1.23829	0	-3.5	2023.11.17 11:00	-0.14	SSL Hybrid
226	GBPCAD	buy	1.70705	1.695375336422785	1.7187246635772149	0.1	0	0	2023-11-17 06:00:01.434941 +00:00	2023.11.17 10:57:53	1.70231	0	19.59	2023.11.17 14:54	-0.14	Super AI Trend
152	EURUSD	buy	1.08498	1.0815687177265325	1.0883912822734676	0.1	0	0	2023-11-16 17:00:12.314536 +00:00	2023.11.16 19:15:12	1.08543	-0.64	17.66	2023.11.17 15:16	-0.14	AI Volume Supertrend
177	EURUSD	buy	1.08536	1.0824407847497421	1.088279215250258	0.1	0	0	2023-11-16 23:00:08.629174 +00:00	2023.11.17 03:45:18	1.08533	0	27.11	2023.11.17 16:05	-0.14	AI Volume Supertrend
215	GBPUSD	buy	1.24055	1.236871104258789	1.244228895741211	0.1	0	0	2023-11-17 05:00:05.568145 +00:00	2023.11.17 10:57:30	1.23827	0	32.37	2023.11.17 16:11	-0.14	AI Volume Supertrend
234	GBPUSD	buy	1.24153	1.2378604001349753	1.2451995998650247	0.1	0	0	2023-11-17 06:15:03.074465 +00:00	2023.11.17 10:58:17	1.23821	0	32.55	2023.11.17 16:11	-0.14	Super AI Trend
230	GBPUSD	buy	1.24139	1.2377204001349753	1.2450595998650247	0.1	0	0	2023-11-17 06:00:03.633954 +00:00	2023.11.17 10:57:59	1.23818	0	32.55	2023.11.17 16:11	-0.14	VHMA
183	GBPUSD	buy	1.2414	1.2359227199084362	1.246877280091564	0.1	0	0	2023-11-17 00:00:02.609491 +00:00	2023.11.17 03:45:30	1.2414	0	-0.09	2023.11.17 16:11	-0.14	AI Volume Supertrend
157	EURCHF	buy	0.96423	0.9612730694972373	0.9671869305027627	0.1	0	0	2023-11-16 18:00:11.918809 +00:00	2023.11.16 20:15:22	0.96478	0.7	16.76	""	0	VHMA
202	XAGUSD	buy	23.8345	23.65691776142752	24.01208223857248	0.1	0	0	2023-11-17 03:00:08.249555 +00:00	2023.11.17 10:57:12	23.939	0	33.63	2023.11.17 11:07	-0.06	VHMA
212	EURCHF	buy	0.96425	0.9610419895432055	0.9674580104567946	0.1	0	0	2023-11-17 04:45:01.152846 +00:00	2023.11.17 10:57:24	0.96328	0	14.51	2023.11.17 16:32	-0.14	VHMA
163	CHFJPY	buy	169.47	168.49779402439634	170.44220597560366	0.1	0	0	2023-11-16 19:30:03.096859 +00:00	2023.11.16 21:45:00	169.476	0.2	-60.26	2023.11.17 11:10	-0.14	SSL Hybrid
223	CHFJPY	buy	169.46	168.47820519324978	170.44179480675024	0.1	0	0	2023-11-17 05:30:01.215448 +00:00	2023.11.17 10:57:48	168.675	0	-12.63	2023.11.17 11:11	-0.14	SSL Hybrid
221	EURCHF	buy	0.96448	0.962574451239287	0.966385548760713	0.1	0	0	2023-11-17 05:15:04.664485 +00:00	2023.11.17 10:57:41	0.96326	0	14.51	2023.11.17 16:37	-0.14	VHMA
233	EURUSD	buy	1.08532	1.078469275005869	1.092170724994131	0.1	0	0	2023-11-17 06:00:08.879259 +00:00	2023.11.17 10:58:11	1.08472	0	15.37	2023.11.17 12:35	-0.14	AI Volume Supertrend
205	EURUSD	buy	1.08568	1.08288739542362	1.08847260457638	0.1	0	0	2023-11-17 03:15:07.373596 +00:00	2023.11.17 10:57:18	1.08441	0	15.19	2023.11.17 13:40	-0.14	VHMA
88	EURUSD	buy	1.0838	1.0809226192635961	1.086677380736404	0.1	0	0	2023-11-16 06:00:08.480087 +00:00	2023.11.16 10:47:52	1.0851	0	14.54	2023.11.16 15:35	-0.14	SSL Hybrid
132	XAGUSD	buy	23.6115	23.42294419529931	23.80005580470069	0.1	0	0	2023-11-16 12:45:07.845724 +00:00	2023.11.16 15:10:27	23.623	0	86.96	2023.11.16 15:35	-0.05	VHMA
137	EURUSD	buy	1.08484	1.0814526809764002	1.0882273190235998	0.1	0	0	2023-11-16 13:30:08.267607 +00:00	2023.11.16 15:45:16	1.0877	0	4.87	2023.11.16 17:01	-0.14	VHMA
123	EURUSD	buy	1.08498	1.0807766123595894	1.0891833876404107	0.1	0	0	2023-11-16 11:15:04.192071 +00:00	2023.11.16 13:30:11	1.0858	0	31.22	2023.11.16 17:13	-0.14	SSL Hybrid
143	GBPUSD	buy	1.24411	1.2401646402138407	1.2480553597861594	0.1	0	0	2023-11-16 14:00:01.533557 +00:00	2023.11.16 16:15:00	1.24287	0	0	2023.11.16 18:22	-0.14	AI Volume Supertrend
180	AUDNZD	buy	1.08384	1.081756294891835	1.085923705108165	0.1	0	0	2023-11-16 23:15:04.070854 +00:00	2023.11.17 03:45:24	1.08486	0	5.59	2023.11.17 04:42	-0.14	SSL + Wave Trend Strategy
189	GBPUSD	buy	1.24179	1.2381198236427517	1.2454601763572481	0.1	0	0	2023-11-17 01:00:01.543212 +00:00	2023.11.17 03:45:36	1.24139	0	-30.16	2023.11.17 09:09	-0.14	SSL Hybrid
